field1,field2,field3,field4,field5,_GC_TYPE,_X,_Y
충청북도,충주시,안림로 239-50(안림동 134),충청북도 충주시 안림로 239-50(안림동 134),충청북도 충주의료원,정,127.9704032745372,36.97931426797265
전라북도,고창군,고인돌대로 1765,전라북도 고창군 고인돌대로 1765,전라북도 고창노인요양병원,정,126.69109227288281,35.43715826114819
인천광역시,계양구,드림로 852,인천광역시 계양구 드림로 852,인천제2시립 노인치매요양병원,정,126.72915493343228,37.57479991602467
충청북도,청주시,흥덕구 흥덕로 48 (사직동 554-6),충청북도 청주시 흥덕구 흥덕로 48 (사직동 554-6),충청북도 청주의료원,유,127.4725394684736,36.64317197616249
충청남도,서산시,중앙로 149번지(석림동 568-5),충청남도 서산시 중앙로 149번지(석림동 568-5),충청남도서산의료원,정,126.46573987727946,36.77564372996484
전라남도,순천시,서문성터길 2,전라남도 순천시 서문성터길 2,전라남도 순천의료원,정,127.48384529907396,34.95777871457417
충청북도,영동군,영동읍 대학로 290,충청북도 영동군 영동읍 대학로 290,영동군립노인전문병원,정,127.79578460445269,36.19415910044866
전라북도,완주군,소양면 소양로 465-23,전라북도 완주군 소양면 소양로 465-23,전라북도 마음사랑병원,정,127.25563542837712,35.86064979190942
충청북도,청주시,흥덕구 청남로 1910번지   (미평동 25번지),충청북도 청주시 흥덕구 청남로 1910번지   (미평동 25번지),충북도립 노인전문병원,대,127.37869310652233,36.64338261960707
제주특별자치도,제주시,산천단 남길 10,제주특별자치도 제주시 산천단 남길 10,제주의료원 부속 요양병원,정,126.56084656256769,33.444892341791274
충청북도,충주시,동량면 대전리 1686-28,충청북도 충주시 동량면 대전리 1686-28,충주시 노인전문병원,정,127.93096227041244,37.04829154568725
전라북도,부안군,부안읍 봉두길 68,전라북도 부안군 부안읍 봉두길 68,부안군노인요양병원,정,126.74507934187285,35.71606093615275
제주특별자치도,서귀포시,장수로 47(동홍동),제주특별자치도 서귀포시 장수로 47(동홍동),제주특별자치도 서귀포의료원,정,126.56449304741729,33.25576705305805
충청남도,서천군,종천면 충서로302번길 88-12,충청남도 서천군 종천면 충서로302번길 88-12,서천군립노인요양병원,정,126.65642482350223,36.10931966931668
충청북도,단양군,단양읍 별곡6길 10,충청북도 단양군 단양읍 별곡6길 10,단양군노인요양전문병원,정,128.36844836185992,36.98697298552126
충청남도,홍성군,홍성읍 조양로 224,충청남도 홍성군 홍성읍 조양로 224,충청남도 홍성의료원,정,126.67457735920094,36.59886844088222
